id;name;input;output;idea;description;real_life_use;pseudocode;flowchart;flowchart_image;flowchart_image_content_type;complexity_analysis;correctness_proof;average_stars;total_favs;weighted_rating;date_created;date_updated
1;mobile Fish;Home Loan Account Table Computer;Trace;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;33370;60111;14286;2019-07-30T16:33:26;2019-07-30T17:55:47
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;706;43194;2306;2019-07-31T02:33:41;2019-07-30T20:57:23
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;46676;4645;85994;2019-07-30T18:58:12;2019-07-30T17:13:25
4;Centers;Factors;South Dakota envisioneer Music;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;23089;68423;24102;2019-07-30T22:59:14;2019-07-30T17:09:10
5;Investment Account;Games Regional Digitized;copy convergence;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;20794;54671;56770;2019-07-31T05:06:52;2019-07-31T08:47:58
6;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;96117;32533;84453;2019-07-31T00:13:22;2019-07-30T15:36:55
7;South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;16526;7455;1563;2019-07-30T09:51:57;2019-07-30T23:23:22
8;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;65107;11586;91495;2019-07-30T12:50:12;2019-07-30T13:09:01
9;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;38292;11959;97171;2019-07-30T16:25:59;2019-07-30T13:10:38
10;hard drive Robust Networked;Poland;Small partnerships;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.txt;../data/blob/hipster.txt;20171;3142;89576;2019-07-30T18:16:38;2019-07-30T22:08:31
